WEIGHT(N),HEIGHT(mm),HEAD CIRCUMFERENCE(mm),SHOULDER BREADTH(mm),HAND LENGTH(mm),CHEST CIRCUMFERENCE(mm),WAIST CIRCUMFERENCE(mm),SLEEVE LENGTH(mm),AGE (months)
395,1529,531,354,170,771,633,417.5,164
377,1544,550,358,169,686,603,424,164
588,1583,553,406,167,862,752,421.5,164
483,1612,538,364,175,785,706,449,164
528,1627,551,394,180,811,717,436.5,164
517,1650,564,439,191,839,680,414.5,164
518,1685,551,394,193,790,624,452.5,164
623,1708,540,398,184,862,729,471,164
433,1425,581,382,162,811,670,359.5,165
378,1493,548,336,167,731,631,411.5,165
506,1515,538,393,170,865,773,391,165
399,1525,525,371,162,733,608,415,165
426,1546,523,362,166,751,643,426,165
415,1558,550,368,173,738,635,422,165
414,1576,539,370,179,747,590,424,165
509,1578,543,383,190,791,691,407.5,165
540,1596,549,381,171,825,675,436.5,165
502,1606,520,385,184,750,662,426.5,165
571,1612,567,404,189,867,747,415,165
496,1627,562,370,182,794,676,446.5,165
594,1630,548,401,174,848,744,440.5,165
551,1649,543,388,182,834,680,448.5,165
575,1718,582,390,188,807,734,476,165
495,1506,527,386,172,785,734,388,166
491,1589,554,368,173,771,717,437.5,166
508,1618,549,396,186,785,701,425,166
522,1626,542,379,170,771,686,453.5,166
511,1650,559,404,190,823,665,433,166
536,1677,532,401,187,850,690,451,166
624,1706,558,412,190,876,783,457,166
700,1707,569,454,217,914,741,409.5,166
710,1815,577,440,203,891,717,484.5,166
390,1506,534,370,165,699,614,403,167
413,1512,507,362,157,740,645,418,167
373,1533,535,345,166,692,604,428,167
452,1542,537,365,171,824,660,417.5,167
445,1553,526,369,165,799,676,427,167
488,1565,559,393,194,830,649,392,167
409,1583,573,351,172,688,613,444,167
602,1682,559,400,187,867,760,454,167
553,1683,539,408,195,779,663,442.5,167
508,1715,552,390,189,812,664,473.5,167
517,1723,535,381,181,787,664,490,167
435,1526,530,359,158,743,679,425.5,168
421,1533,538,371,168,748,651,413,168
431,1569,551,402,168,787,599,415.5,168
434,1598,545,353,192,726,640,430.5,168
434,1622,526,374,177,754,634,447,168
692,1732,579,426,195,852,792,458,168
390,1444,513,357,163,730,686,380.5,169
435,1476,559,369,149,734,709,404.5,169
405,1516,532,366,166,732,646,409,169
601,1564,554,417,177,881,863,396.5,169
547,1598,545,385,171,870,715,435.5,169
557,1604,567,407,171,802,768,427.5,169
486,1645,523,383,172,781,663,459,169
638,1686,582,446,200,904,715,420,169
684,1755,585,428,185,887,775,478.5,169
676,1832,580,411,192,875,790,518.5,169
436,1533,516,391,167,756,671,404,170
472,1590,557,376,180,746,684,427,170
711,1592,572,434,167,926,897,412,170
520,1605,549,381,193,796,656,419,170
533,1631,518,414,182,821,677,426.5,170
677,1632,558,443,187,924,849,407.5,170
479,1639,533,390,193,800,642,431.5,170
488,1644,541,382,175,788,655,456,170
702,1691,567,399,177,933,909,469,170
584,1711,577,433,196,823,665,443,170
546,1738,561,379,182,820,708,497.5,170
697,1743,563,427,194,915,804,464,170
548,1757,544,415,193,756,645,478,170
570,1784,563,389,189,821,672,508.5,170
316,1388,504,344,150,690,587,372,171
583,1538,537,414,165,864,851,397,171
488,1606,528,380,188,750,659,425,171
586,1619,535,432,190,901,764,403.5,171
430,1622,521,400,171,735,585,440,171
542,1653,543,389,190,807,695,442,171
604,1673,566,423,186,875,712,439,171
690,1681,598,432,194,927,876,430.5,171
474,1682,539,412,191,786,651,444,171
508,1682,553,409,178,811,680,458.5,171
651,1698,542,395,183,877,821,468.5,171
527,1700,532,410,186,754,702,459,171
587,1716,573,408,186,854,703,468,171
601,1724,571,400,182,825,697,480,171
596,1734,567,422,184,843,688,472,171
638,1766,557,425,191,877,769,479.5,171
466,1524,578,333,173,693,614,422.5,172
395,1546,531,358,164,706,615,430,172
392,1546,543,353,177,746,602,419.5,172
478,1552,552,365,177,747,661,416.5,172
493,1559,543,386,176,793,633,410.5,172
544,1560,542,414,172,850,718,401,172
433,1579,514,370,165,727,620,439.5,172
490,1585,531,386,177,833,692,422.5,172
488,1595,564,369,165,761,667,448,172
548,1607,546,399,172,852,685,432,172
609,1624,586,424,175,872,708,425,172
596,1660,552,405,186,868,732,441.5,172
524,1661,545,379,184,838,665,457,172
513,1682,550,407,192,838,697,445.5,172
670,1725,579,423,184,894,710,467,172
579,1756,549,414,201,874,691,470,172
355,1456,533,344,158,698,608,398,173
353,1479,505,361,171,715,582,388,173
457,1497,527,380,162,598,694,396.5,173
444,1515,536,346,179,762,706,405.5,173
419,1531,538,360,171,747,610,414.5,173
660,1562,553,414,169,939,895,405,173
419,1587,542,362,179,728,622,433.5,173
468,1591,543,387,173,788,668,429,173
527,1628,535,393,176,773,671,441.5,173
483,1653,553,379,181,802,722,456,173
542,1673,547,388,180,800,670,462.5,173
548,1687,552,416,181,841,688,454.5,173
732,1696,564,450,191,918,825,432,173
577,1744,545,395,189,835,748,485.5,173
391,1464,524,356,160,773,632,394,174
432,1528,566,363,166,736,676,416.5,174
449,1580,559,378,172,714,665,429,174
504,1598,532,385,173,782,670,433.5,174
534,1623,560,392,183,823,694,432.5,174
611,1624,564,424,177,897,756,423,174
540,1653,547,390,174,834,705,457.5,174
644,1679,555,413,186,899,741,447,174
735,1690,553,439,199,934,881,426.5,174
